Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Milk Chocolates - Chocolates | CHOCOLATE CRANBERRIES, MILK CHOCOLATE COVERED | CA$11.99
Dates - Dried Fruits | BAM DATES | CA$5.49
Rice - Cooking | ORGANIC BROWN LONG GRAIN RICE, LONG GRAIN | CA$5.49
Raspberries - Dried Fruits | RASPBERRIES | CA$47.99
Macadamia Nuts - Nuts | MACADAMIA NUTS, MEDIUM PIECES | CA$19.99
Organic Candies - Organic | ORGANIC REDUCED SUGAR GUMMY BERRY VEGAN | CA$22.99
Organic Legumes - Organic | ORGANIC BLACK TURTLE BEANS | CA$6.49
Natural Candies - Candies - Candies | MAPLE SYRUP LEAF STICKS | CA$1.79
Cranberries - Dried Fruits | CRANBERRIES, REGULAR | CA$9.49
Shop Brazil Nuts, Organic Brazil Nuts, Roasted & More at Yupik | ORGANIC BRAZIL NUTS, PIECES | CA$12.99
Candies - Candies | JELLY BEANS | CA$6.99
Candies - Candies | CHERRY CANDIES, NO SUGAR ADDED | CA$15.99
Candies - Candies | GREEN PINWHEEL MINTS | CA$6.49
Candies - Candies | MINI SOUR FRUIT MIX | CA$7.99
Candies - Candies | CREAMY CRÈME BRÛLÉE | CA$9.49
Kamut - Grains & Seeds | ORGANIC KAMUT GRAINS | CA$5.99
Shop Cashews, Organic Cashews, Roasted & More at Yupik | CASHEW PIECES, SMALL SIZE | CA$8.99
Mangoes - Dried Fruits | ORGANIC MANGO SLICES | CA$18.99
Spelt Grain - Grains & Seeds | ORGANIC SPELT KERNELS, HULLED | CA$6.49
Shop Pecans, Organic Pecans, Roasted & More at Yupik | ORGANIC PECANS | CA$34.99
Strawberries - Dried Fruits | STRAWBERRIES | CA$18.99
Soya Sticks - Snacks & Mixes | SALSA SOY STICKS | CA$12.99
Dark Chocolates - Chocolates | ORGANIC CACAO NIBS, RAW | CA$18.49
Dark Chocolates - Chocolates | DARK CHOCOLATE ALMOND BARK | CA$11.99
Organic Flour - Organic | ORGANIC TIGERNUT POWDER | CA$16.99
Organic Flour - Organic | ORGANIC BLANCHED ALMOND FLOUR | CA$22.99
Flax Seeds - Grains & Seeds | ORGANIC BROWN FLAX SEEDS | CA$6.99
Oat - Grains & Seeds | ORGANIC ROLLED OATS, GLUTEN-FREE | CA$9.49
Blueberries - Dried Fruits | ORGANIC BLUEBERRIES | CA$37.99
Millet - Grains & Seeds | ORGANIC MILLET, HULLED | CA$6.49
Search results for: 'snacks mixes snacks' | BBQ PROTEIN SNACK MIX | CA$11.49
Energy (powder) - Superfoods | ORGANIC COCOA POWDER | CA$16.49
Search results for: 'snacks mixes snacks' | ORGANIC GAÏA MIX | CA$15.49
Search results for: 'snacks mixes snacks' | SOUR CREAM SOY STICKS | CA$12.99
Search results for: 'snacks mixes snacks' | BEIJING RICE CRACKERS | CA$8.99
Search results for: 'snacks mixes snacks' | ORGANIC PROTEIN BOOST MIX | CA$21.99
Organic Cereals - Organic | ORGANIC ROLLED OATS, GLUTEN-FREE | CA$9.49
Tea and Beverages - Baking | ORGANIC MATCHA GREEN TEA POWDER | CA$41.49
Goji Berries - Dried Fruits | GOJI BERRIES | CA$18.99
Organic Sugar - Organic | ORGANIC MAPLE SUGAR | CA$22.49
Yogurt Covered - Chocolates | YOGURT CHIPS | CA$8.99
Chocolate trays - Gifts | DELUXE NUT TRAY | CA$29.99
Shop Nut Butters, Organic Nut Butters & More at Yupik | ALMOND BUTTER | CA$14.99
Barley - Grains & Seeds | ORGANIC BARLEY FLAKES | CA$5.49
Baking | BIRTHDAY CAKE TOPPING | CA$8.99
Baking | BLANCHED PEANUTS, RAW | CA$6.49
Baking | ORGANIC PUFFED SORGHUM | CA$9.99
Baking | ORGANIC HONEYDEW TEA, LOOSE LEAF | CA$47.99
Baking | HAZELNUT MEAL | CA$14.99
Buy Quality Nuts and Dried Fruits Online | BLANCHED PEANUTS, ROASTED, UNSALTED | CA$7.49
Buy Quality Nuts and Dried Fruits Online | NUT MIX, RAW | CA$17.99
Buy Quality Nuts and Dried Fruits Online | ORGANIC ALMONDS, DRY ROASTED WITH SEA SALT | CA$21.99
Buy Quality Nuts and Dried Fruits Online | BLANCHED MARCONA ALMONDS, RAW | CA$20.49
Chocolates | ORGANIC CACAO NIBS, RAW | CA$18.49
Buy Quality Nuts and Dried Fruits Online | RED SKIN PEANUTS, ROASTED, SALTED | CA$6.99
Papayas - Dried Fruits | PAPAYA SPEARS, SULPHITE-FREE | CA$10.99
Organic Pasta - Organic | ORGANIC VEGETABLE FUSILLI | CA$9.99
Couscous - Cooking | COUSCOUS | CA$5.49
Antioxidant (powder) - Superfoods | ORGANIC MATCHA GREEN TEA POWDER | CA$41.49
Nuts In Shell - Nuts | CALIFORNIA WALNUTS, IN SHELL | CA$5.99
No Sugar Added Chocolates - Chocolates | ORGANIC COCOA POWDER | CA$16.49
Dried Fruits | THOMPSON RAISINS | CA$6.99
Dried Fruits | BANANA CHIPS, SWEETENED | CA$6.99
Dried Fruits | DICED MANGO, SULPHITE-FREE | CA$13.49
Chocolates | CHOCOLATE SPRINKLES | CA$7.99
Dried Fruits | ORGANIC JACKFRUIT | CA$22.49
Dried Fruits | DESICCATED COCONUT, FINE | CA$8.99
Apricots - Dried Fruits | TURKISH APRICOTS | CA$13.49
Hemp Seeds - Grains & Seeds | ORGANIC CANADIAN HEMP SEEDS, HULLED | CA$19.49
Prunes - Dried Fruits | PRUNES, PITTED | CA$10.49
Shop Almonds, Organic Almonds, Roasted & More at Yupik | NATURAL ALMONDS, LARGE SIZE | CA$11.99
Shop Almonds, Organic Almonds, Roasted & More at Yupik | DICED ALMONDS | CA$11.99
Salt and Pepper - Cooking | MEDITERRANEAN SEA SALT, FINE | CA$4.49
White Chocolates - Chocolates | DARK AND WHITE CHOCOLATE GINGERBREAD | CA$27.99
Organic Sweeteners - Baking | ORGANIC MAPLE SUGAR | CA$22.49
Chocolates | CHOCOLATE BLUEBERRIES, DARK CHOCOLATE COVERED | CA$18.99
Licorice - Candies - Candies | LICORICE BABIES | CA$22.49
Coated Nuts - Nuts | HONEY PEANUTS | CA$8.99
Fruit and Veggie Chips - Snacks & Mixes | BEET CHIPS, BAKED | CA$127.19
